19600101	20211201		744	21
ID	NODATA_VALUE	南雄	连州	韶关	佛冈	高要	广州	河源	惠阳	紫金	汕头	惠来	南澳	信宜	罗定	台山	中山	深圳	阳江	电白	上川岛	徐闻
122	-9999	29.6	42.9	22.2	11.6	8.7	10.7	7.2	5.2	3.2	1.8	0.4	0.1	19.3	16	7.2	7	1.7	17	13.6	8.9	9.8
123	-9999	173.6	166.2	170.6	98	37.8	58.9	94.6	57	87.6	103	54.8	71.1	50	48.1	86.6	58	58.3	51.6	30	50.2	11.4
124	-9999	269.6	368.7	290.5	193.1	123.7	58.8	138.2	107.8	111	73.5	77	38.4	244.2	224.7	77.9	60.2	25	203	183.4	108.2	49.4
125	-9999	285.8	364	225.3	543	264.2	311.6	316.4	276.5	307.8	191.1	325.9	218.1	392.5	312.6	618.8	412	263.3	838.9	183.9	663.8	112.6
126	-9999	241.1	204.7	291.9	518.1	193	214.8	191.5	295.5	139	129.3	118.4	28.6	363	190.7	446.9	392.9	383.5	549.9	241	242.5	148
127	-9999	52.3	122.5	101.1	127.5	127.5	162.7	246.6	117.4	179.5	102	113.8	57.2	195.3	92.1	69.4	65.9	143.4	187.9	19.8	129	58.4
128	-9999	171.2	224	136	285.6	372.7	256.4	149.3	220.4	328.6	127.4	448.5	131.3	492.5	383.3	401.7	669.9	512.6	439.1	354.8	435	205.8
129	-9999	209.4	129.9	95.4	158.6	149.4	209.1	251.7	278.4	478.7	388.3	499.3	270.8	320.8	281.2	387.9	214.5	377.6	362.9	490.8	484.7	299.6
130	-9999	93.1	117.5	151	149.6	121.9	103.8	98.7	94.7	68.4	82.4	156.2	66	89.1	121.1	112.5	85.9	198.1	90.6	61.2	139.7	288.6
131	-9999	53.9	51.4	52.9	8.4	4.3	9.8	6.3	1.4	0.4	2.1	0.4	0	11	14.7	28.6	2.1	6.5	54.8	4.1	22.7	29.6
132	-9999	89.4	103.8	69.3	84.9	32.4	22.8	73.1	47.8	35.7	39.2	53.1	23.7	33	45.6	57.8	60.3	47.9	39.3	14.7	82.4	32.3
133	-9999	41.4	52.2	41.4	43.4	40.9	31.8	33.9	33.4	30.5	42.3	33.9	35.8	33.2	45.9	33.3	35.4	25.4	29.7	21.2	16.9	14.1
134	-9999	46	55.5	45.1	30.1	13.9	11.6	16.8	12.2	9.5	27.3	4.7	24.2	11.5	24.9	9.5	9.4	6.6	31.1	11.1	17.4	7.2
135	-9999	22	36.4	26.9	20.1	9.6	3.5	11	8.9	10.7	7.6	16.3	4.9	6	4.2	0.8	8.3	3.1	2.1	5.1	5.8	2.5
136	-9999	57.6	210.1	109.1	280.9	264.3	141.7	234.8	152.7	204.6	32	64	37.3	59.9	160.9	56.9	104.8	42.8	20.3	4.8	4.9	0.2
137	-9999	290.9	300.2	254.9	338.5	267.6	192.1	102.8	135	142.4	68.4	41.5	114.9	423	138.1	254.7	284.7	216.6	425	180.8	209	180.9
138	-9999	133.8	178.7	183.8	423.8	438	435.5	387.7	383.3	294.5	507.3	322.8	334.7	305.7	268.2	482.4	330.1	291.1	232.8	89.9	365.5	186.9
139	-9999	112.5	192	238.3	203.2	180.6	116.1	215.5	267.1	217.2	366.3	350	228.8	225.3	114.7	230.5	150.6	309.2	186.7	261.7	284.6	197.7
140	-9999	156	141	131.5	301.6	179.6	299.8	234.1	195.4	140	167.5	100	169.7	221.8	233.9	206.5	392.8	363.5	234.5	151.4	143.2	160.4
141	-9999	62.7	108.4	111.3	148.2	116.6	92.5	62.3	130.5	91.7	34.1	94.5	85.9	72.6	20.4	177.9	149.3	149.7	137.8	133.5	175.6	100.6
142	-9999	46.4	43.9	37.8	32.5	30.5	51.6	55	35.3	68.3	17	26.8	8	30.9	36.8	66.1	48.8	70.1	48.1	80.2	43.7	187.3
143	-9999	0.3	12	1.7	9	0.3	0.4	0.4	0.7	0.9	0.6	0.1	0	0	0	0	0.1	0	0.2	0.3	0	1.7
144	-9999	102	71.7	85.1	137.7	102.6	144.5	166.1	174.1	141.1	131.7	99.6	78.6	80.5	82.2	152.8	154.2	170.8	173.9	111.2	158.2	124
145	-9999	17.8	11.4	12.8	18.6	21.6	33	37	42.1	43.6	84.5	61.5	67.2	11.3	35.9	65.2	67.1	61.5	45.4	21.5	38.9	16.1
146	-9999	79.2	142.8	102.3	66.1	20.3	53.1	63.9	62.3	43.1	33.9	17.4	37.1	13.7	19.8	48.7	28.6	19.2	30.8	24.4	22.4	53.1
147	-9999	45.8	64.8	28	38.2	18.4	14.4	3.6	10.5	5.9	5.5	0.4	4.6	6	44.2	13.6	16.6	6.1	17.2	12.3	10.4	36.1
148	-9999	275.2	206.5	251	302	247.7	172	194.1	123.7	111.3	43.9	141.2	59.9	194.4	176.8	135.1	109.1	72.4	224.8	61.3	117.1	92.3
149	-9999	199	240.4	359.3	527.3	595.8	464.7	419.5	338.4	418.3	309	447.3	355.1	662.1	309	951.6	622.8	452.3	797.3	261	859.2	204.1
150	-9999	204.5	178.1	197.2	277.3	262.2	321.9	325	380.4	267.8	416.4	533.1	420.4	224.2	186.6	292.6	370.5	399.3	490.7	217.3	474.5	357.8
151	-9999	54.3	68	117.2	141.7	117.9	134.3	152.5	98.7	149.3	393	196.8	198.8	139.8	258.5	250.8	92.2	95.9	329.6	149.6	180.6	170.5
